000271 | fetch | pc=0047 acc=0           z=1 n=0 irq=0 | 0046: ld 27
000272 | addr  | pc=0047 acc=0           z=1 n=0 irq=0 | data address <- 27
000273 | mem   | pc=0047 acc=0           z=1 n=0 irq=0 | acc <- mem[27]
000274 | fetch | pc=0048 acc=0           z=1 n=0 irq=0 | 0047: jz 61
000275 | exec  | pc=0061 acc=0           z=1 n=0 irq=0 | jz taken
000276 | fetch | pc=0062 acc=0           z=1 n=0 irq=0 | 0061: ld 28
000277 | addr  | pc=0062 acc=0           z=1 n=0 irq=0 | data address <- 28
000278 | mem   | pc=0062 acc=1           z=0 n=0 irq=0 | acc <- mem[28]
000279 | fetch | pc=0063 acc=1           z=0 n=0 irq=0 | 0062: jz 72
000280 | exec  | pc=0063 acc=1           z=0 n=0 irq=0 | jz skip
000281 | fetch | pc=0064 acc=1           z=0 n=0 irq=0 | 0063: ld 29
000282 | addr  | pc=0064 acc=1           z=0 n=0 irq=0 | data address <- 29
000283 | mem   | pc=0064 acc=31          z=0 n=0 irq=0 | acc <- mem[29]
000284 | fetch | pc=0065 acc=31          z=0 n=0 irq=0 | 0064: sub 0
000285 | mem   | pc=0065 acc=31          z=0 n=0 irq=0 | operand <- mem[0]
000286 | exec  | pc=0065 acc=30          z=0 n=0 irq=0 | acc -= mem[0]
000287 | fetch | pc=0066 acc=30          z=0 n=0 irq=0 | 0065: st 29
000288 | addr  | pc=0066 acc=30          z=0 n=0 irq=0 | data address <- 29
000289 | mem   | pc=0066 acc=30          z=0 n=0 irq=0 | mem[29] <- acc
000290 | fetch | pc=0067 acc=30          z=0 n=0 irq=0 | 0066: ldx 29
000291 | addr  | pc=0067 acc=30          z=0 n=0 irq=0 | ptr address <- 29
000292 | mem   | pc=0067 acc=30          z=0 n=0 irq=0 | address <- mem[29]
000293 | mem   | pc=0067 acc=56          z=0 n=0 irq=0 | acc <- mem[30]
000294 | fetch | pc=0068 acc=56          z=0 n=0 irq=0 | 0067: st 65281
000295 | addr  | pc=0068 acc=56          z=0 n=0 irq=0 | data address <- 65281
000296 | mem   | pc=0068 acc=56          z=0 n=0 irq=0 | mem[65281] <- acc
000297 | fetch | pc=0069 acc=56          z=0 n=0 irq=0 | 0068: ld 28
000298 | addr  | pc=0069 acc=56          z=0 n=0 irq=0 | data address <- 28
000299 | mem   | pc=0069 acc=1           z=0 n=0 irq=0 | acc <- mem[28]
000300 | fetch | pc=0070 acc=1           z=0 n=0 irq=0 | 0069: sub 0
000301 | mem   | pc=0070 acc=1           z=0 n=0 irq=0 | operand <- mem[0]
000302 | exec  | pc=0070 acc=0           z=1 n=0 irq=0 | acc -= mem[0]
000303 | fetch | pc=0071 acc=0           z=1 n=0 irq=0 | 0070: st 28
000304 | addr  | pc=0071 acc=0           z=1 n=0 irq=0 | data address <- 28
000305 | mem   | pc=0071 acc=0           z=1 n=0 irq=0 | mem[28] <- acc
000306 | fetch | pc=0072 acc=0           z=1 n=0 irq=0 | 0071: jmp 61
000307 | exec  | pc=0061 acc=0           z=1 n=0 irq=0 | pc <- 61
000308 | fetch | pc=0062 acc=0           z=1 n=0 irq=0 | 0061: ld 28
000309 | addr  | pc=0062 acc=0           z=1 n=0 irq=0 | data address <- 28
000310 | mem   | pc=0062 acc=0           z=1 n=0 irq=0 | acc <- mem[28]
000311 | fetch | pc=0063 acc=0           z=1 n=0 irq=0 | 0062: jz 72
000312 | exec  | pc=0072 acc=0           z=1 n=0 irq=0 | jz taken
000313 | fetch | pc=0073 acc=0           z=1 n=0 irq=0 | 0072: ret 0
000314 | exec  | pc=0022 acc=0           z=1 n=0 irq=0 | ret
000315 | fetch | pc=0023 acc=0           z=1 n=0 irq=0 | 0022: ld 25
000316 | addr  | pc=0023 acc=0           z=1 n=0 irq=0 | data address <- 25
000317 | mem   | pc=0023 acc=18          z=0 n=0 irq=0 | acc <- mem[25]
000318 | fetch | pc=0024 acc=18          z=0 n=0 irq=0 | 0023: add 0
000319 | mem   | pc=0024 acc=18          z=0 n=0 irq=0 | operand <- mem[0]
000320 | exec  | pc=0024 acc=19          z=0 n=0 irq=0 | acc += mem[0]
000321 | fetch | pc=0025 acc=19          z=0 n=0 irq=0 | 0024: st 25
000322 | addr  | pc=0025 acc=19          z=0 n=0 irq=0 | data address <- 25
000323 | mem   | pc=0025 acc=19          z=0 n=0 irq=0 | mem[25] <- acc
000324 | fetch | pc=0026 acc=19          z=0 n=0 irq=0 | 0025: ld 26
000325 | addr  | pc=0026 acc=19          z=0 n=0 irq=0 | data address <- 26
000326 | mem   | pc=0026 acc=3           z=0 n=0 irq=0 | acc <- mem[26]
000327 | fetch | pc=0027 acc=3           z=0 n=0 irq=0 | 0026: sub 0
000328 | mem   | pc=0027 acc=3           z=0 n=0 irq=0 | operand <- mem[0]
000329 | exec  | pc=0027 acc=2           z=0 n=0 irq=0 | acc -= mem[0]
000330 | fetch | pc=0028 acc=2           z=0 n=0 irq=0 | 0027: st 26
000331 | addr  | pc=0028 acc=2           z=0 n=0 irq=0 | data address <- 26
000332 | mem   | pc=0028 acc=2           z=0 n=0 irq=0 | mem[26] <- acc
000333 | fetch | pc=0029 acc=2           z=0 n=0 irq=0 | 0028: jz 32
000334 | exec  | pc=0029 acc=2           z=0 n=0 irq=0 | jz skip
